Country,Region,Male,Female,Total_Pop,Life_Expectancy_Male,Life_Expectancy_Female,Life_Expectancy_Both,Health_Exp_Per_Capita,Health_Expend_of_GDP,Child_Mortality_Rate,Heart_Disease_Male,Heart_Disease_Female,Heart_Disease_Total
Ecuador,Americas,8309,8316,16625,74.1,78.9,76.5,505,8.4,0.8,13.9,12.2,13
Egypt,Eastern Mediterranean,49325,48228,97553,68.2,73,70.5,131,4.6,1.2,31.5,23.8,27.7
El Salvador,Americas,2995,3383,6378,69,78.1,73.7,294,7,0.7,15.1,13.1,14
Equatorial Guinea,Africa,702,566,1268,57.9,61.7,59.5,281,3.4,3.1,22.6,21.3,22
Eritrea,Africa,2540,2529,5069,62.9,67.1,65,30,3,1.8,25.3,22.7,23.9
Estonia,Europe,614,696,1310,73,82.1,77.8,1185,6.7,0.1,25,10.3,17
Ethiopia,Africa,662,705,1367,,,,221,7.7,1.7,29.8,24.4,26.7
Fiji,Western Pacific,52406,52551,104957,63.7,67.3,65.5,28,4,2.9,18.7,18,18.3
Finland,Europe,460,446,906,67.1,73.1,69.9,180,3.5,1.1,36.8,24,30.6
France,Europe,2722,2801,5523,78.7,84.2,81.4,4117,9.5,0.2,13.3,7.2,10.2
Gabon,Africa,31949,33031,64980,80.1,85.7,82.9,4263,11.5,0.2,14.1,7.2,10.6
Gambia,Africa,1040,985,2025,64.8,68.2,66.4,220,3.1,2.2,14.9,13.9,14.4
Georgia,Europe,1040,1061,2101,60.6,63.3,61.9,21,4.4,2.8,21.9,18.9,20.4
Germany,Europe,1868,2044,3912,68.3,76.8,72.6,308,8.4,0.7,34.9,15.9,24.9
Ghana,Africa,40435,41679,82114,78.7,83.3,80.9,4714,11.1,0.2,15.2,8.9,12.1
Greece,Europe,14368,14466,28834,62.5,64.4,63.4,68,4.4,2.4,18.2,23.2,20.8
Grenada,Americas,5493,5667,11160,78.7,83.7,81.1,1511,8.5,0.3,17.3,7.7,12.4
Guatemala,Americas,54,54,108,71,75.9,73.4,516,5.2,1.1,25.5,17.3,21.4
Guinea,Africa,8324,8589,16914,70.4,76,73.2,241,5.8,1.3,14.9,15,14.9
Guinea-Bissau,Africa,6376,6341,12717,59.4,60.2,59.8,37,5.5,2.4,21.8,22.9,22.4
Guyana,Americas,916,945,1861,58.4,61.2,59.8,39,6.1,3.7,20.2,19.9,20
Haiti,Americas,393,385,778,63.6,69,66.2,192,4.2,1.9,32.4,28.8,30.5
Honduras,Americas,5430,5551,10981,61.3,65.7,63.5,38,5.4,2.8,28.2,25,26.5
Hungary,Europe,4620,4645,9265,72.9,77.5,75.2,200,8.4,1,16.1,12.1,14
Iceland,Europe,4625,5097,9722,72.3,79.4,76,943,7.4,0.2,31.1,15.6,23
India,SouthEast Asia,168,167,335,80.9,83.9,82.4,5064,8.3,0.1,9.9,8.2,9.1
Indonesia,SouthEast Asia,693959,645221,1339180,67.4,70.3,68.8,62,3.6,2.4,26.7,19.8,23.3
